store_number,store_name,zip_code,address,store_location,etl_date
10195,STAR / DENISON,514420,810 4TH AVENUE SOUTH,POINT(-95.36298896 42.012782014),2025-02-25T12:40:58.468704
10196,ONE STOP / HAMPTON,504410,1208 4TH ST. NE,POINT(-93.202850219 42.753054017),2025-02-25T12:40:58.468704
10197,SUNSHINE FOODS / HAWARDEN,510230,800 AVENUE EAST STE 1,POINT(-96.487711033 42.994979002),2025-02-25T12:40:58.468704
10198,WORLD LIQUOR & TOBACCO PLUS VAPORS,50208,702 1ST AVENUE EAST,POINT(-93.04541 41.69962),2025-02-25T12:40:58.468704
10199,ELKADER PIT STOP / ELKADER,520430,200 W BRIDGE ST.,POINT(-91.405843017 42.854053016),2025-02-25T12:40:58.468704
10200,"MUGHAL, INC. / WATERLOO",507030,735 LOGAN AVE.,POINT(-92.337991033 42.510516985),2025-02-25T12:40:58.468704
10201,WORLD LIQUOR & TOBACCO PLUS VAPORS / ADEL,50003,918 COURT STREET,POINT(-94.01968 41.61825),2025-02-25T12:40:58.468704
10202,BOOTLEGGERS,512470,1425 17TH AVE,POINT(-96.293294025 43.204420478),2025-02-25T12:40:58.468704
10206,HAWKEYE SMOKE SHOP / FAIRFIELD,525560,53 N COURT ST,POINT(-91.962065022 41.007276001),2025-02-25T12:40:58.468704
10207,DOC'S LIQUOR / ROCK VALLEY,512470,960 WESTVIEW DRIVE,POINT(-96.308714846 43.19970722),2025-02-25T12:40:58.468704
10208,HAWKEYE CONVENIENCE STORE / CEDAR RAPIDS,52404,250 16TH AVENUE,POINT(-91.66758 41.96166),2025-02-25T12:40:58.468704
10209,CRESTON LIQUORS / CRESTON,508010,804 LAUREL STREET STE A,POINT(-94.37373202 41.0474430030001),2025-02-25T12:40:58.468704
10211,DOUDS KWIK STOP / DOUDS,525510,14085 ROUTE V64,POINT(-92.085968997 40.841117008),2025-02-25T12:40:58.468704
10212,SUNSHINE FOODS ROCK VALLEY / ROCK VALLEY,51247,1227 VALLEY DRIVE,POINT(-96.29802 43.19935),2025-02-25T12:40:58.468704
10213,NEW STAR / CHARITON,500490,1155 N 7TH ST.,POINT(-93.303798006 41.02752802),2025-02-25T12:40:58.468704
10214,EASYGO LIQUOR / WEST DES MOINES,50265,900 GRAND AVENUE,POINT(-93.71461 41.58235),2025-02-25T12:40:58.468704
10215,OCEAN LIQUOR AND SMOKE ETC / CEDAR RAPIDS,524020,4333 CZECH LANE NORTHEAST,POINT(-91.666791947 42.0229132200001),2025-02-25T12:40:58.468704
10216,KRAMER'S INC.,526490,108 SOUTH MAPLE STREET,POINT(-91.619685987 40.853887005),2025-02-25T12:40:58.468704
10217,HIGHWAY LIQUORS AND TOBACCO / OSKALOOSA,525770,2278 HIGHWAY 63,POINT(-92.64485804 41.324915011),2025-02-25T12:40:58.468704
10218,ABARROTES GASCA LLC / ROCK VALLEY,512470,954 WESTVIEW DRIVE,POINT(-96.308720142 43.199677772),2025-02-25T12:40:58.468704
10219,7 DAYS MART / COUNCIL BLUFFS,51501,501 SOUTH 21ST STREET,POINT(-95.87527 41.25701),2025-02-25T12:40:58.468704
10220,VAPE AND SMOKE / TAMA,523390,104 WEST 3RD STREET,POINT(-92.577196971 41.961557982),2025-02-25T12:40:58.468704
10221,SUPER STOP 3 / DUBUQUE,52001,2360 CENTRAL AVENUE,POINT(-90.67273 42.51582),2025-02-25T12:40:58.468704
10223,4 WAY STOP SHOP / MOVILLE,510390,455 SOUTH 1ST STREET,POINT(-96.07674104 42.483081004),2025-02-25T12:40:58.468704
10224,KIMMES DENISON COUNTRY STORE 11 / DENISON,514420,1108 4TH AVENUE SOUTH,POINT(-95.357897959 42.012774009),2025-02-25T12:40:58.468704
10225,B&L DRIVE THRU / FORT DODGE,505010,902 S 22ND ST,POINT(-94.168193002 42.495551013),2025-02-25T12:40:58.468704
10227,GRIMES LIQUOR SHOP / GRIMES,50111,3600 SOUTHEAST CROSSROADS DRIVE,POINT(-93.77297 41.65884),2025-02-25T12:40:58.468704
10229,SHELDON TRUCK PLAZA INC. / SHELDON,51201,121 34TH AVE.,POINT(-95.81706 43.1857),2025-02-25T12:40:58.468704
10231,ANTOJITOS PENA / HAWARDEN,510230,925 CENTRAL AVENUE,POINT(-96.485626035 42.996551992),2025-02-25T12:40:58.468704
10232,HOMETOWN MARKET / CENTRAL CITY,522140,9 SOUTH AVENUE,POINT(-91.530334983 42.198901001),2025-02-25T12:40:58.468704
10233,COALVILLE STOP N SHOP / FORT DODGE,505010,23930 BOIES STREET,POINT(-94.126484987 42.444014001),2025-02-25T12:40:58.468704
10234,LA TROPICANA / URBANDALE,503220,2743 86TH STREET,POINT(-93.734305545 41.618713877),2025-02-25T12:40:58.468704
